GalaxyID,label
100008,4
100023,4
100053,4
100078,0
100090,4
100122,4
100123,3
100128,0
100134,1
100143,1
100150,4
100157,4
100187,4
100204,4
100237,4
100259,1
100263,3
100288,4
100295,0
100322,4
100335,1
100367,4
100380,1
100382,4
100383,1
100402,0
100428,4
100434,4
100444,4
100445,1
100458,3
100474,4
100479,0
100506,4
100513,3
100520,1
100541,4
100561,3
100571,0
100601,4
100623,4
100672,0
100673,1
100724,4
100727,4
100730,4
100740,4
100744,4
100765,4
100774,4
100801,1
100813,1
100821,1
100822,4
100836,4
100852,4
100859,1
100861,4
100867,4
100887,4
100894,4
100938,4
100951,1
100986,4
101007,1
101061,0
101074,1
101092,4
101127,4
101133,1
101135,4
101140,1
101151,4
101164,4
101166,4
101181,4
101232,1
101239,1
101244,1
101246,4
101247,4
101251,0
101275,4
101283,4
101286,4
101290,4
101291,4
101296,4
101298,1
101306,4
101307,1
101315,1
101324,4
101325,3
101355,4
101358,4
101371,3
101374,4
101375,4
101427,4
101469,4
101493,4
101501,1
101502,0
101518,0
101538,0
101548,4
101549,4
101563,4
101564,4
101572,4
101589,3
101591,3
101595,4
101597,3
101599,4
101623,4
101627,0
101651,4
101654,0
101660,1
101666,1
101685,4
101695,0
101701,4
101718,1
101754,4
101756,1
101762,4
101774,4
101787,1
101788,4
101798,3
101804,1
101807,1
101816,4
101848,4
101854,4
101858,4
101875,0
101893,1
101941,1
101943,4
101955,1
101971,4
101980,1
101991,1
101995,4
101997,4
102000,0
102015,4
102021,4
102027,4
102040,1
102046,1
102047,4
102113,4
102115,4
102159,4
102174,4
102176,1
102182,0
102243,1
102260,4
102271,4
102295,4
102328,4
102347,3
102371,4
102391,1
102402,1
102406,1
102407,1
102422,1
102433,1
102471,4
102474,1
102481,4
102513,4
102556,4
102595,3
102602,4
102616,4
102642,4
102649,4
102657,4
102699,1
102701,4
102729,4
102731,4
102735,1
102742,4
102743,4
102765,1
102770,4
102799,4
102804,4
102808,4
102812,1
102822,3
102834,0
102839,4
102843,4
102863,4
102871,4
102874,1
102919,1
102928,0
102933,4
102964,1
102974,4
102977,0
102982,4
102990,1
102998,3
103019,4
103037,1
103040,4
103072,4
103075,1
103132,4
103159,4
103167,4
103191,4
103224,4
103233,4
103246,4
103255,4
103260,4
103318,1
103323,4
103348,0
103353,4
103354,0
103356,1
103373,4
103386,0
103393,4
103444,4
103445,4
103491,3
103500,4
103503,4
103520,1
103523,3
103533,1
103547,4
103561,4
103577,4
103592,4
103610,4
103626,4
103645,4
103646,4
103707,0
103718,0
103731,4
103750,1
103751,4
103754,3
103758,4
103769,1
103787,4
103818,1
103819,4
103824,4
103882,4
103900,4
103902,4
103904,4
103907,4
103950,1
103955,4
103974,1
103979,4
103999,1
104001,1
104008,4
104020,1
104040,1
104041,1
104096,0
104110,4
104131,4
104141,4
104143,4
104159,4
104173,4
104196,4
104212,4
104216,1
104222,4
104234,1
104243,4
104253,4
104267,4
104268,1
104279,3
104281,4
104287,4
104310,1
104314,4
104317,4
104354,1
104365,1
104387,4
104389,1
104398,4
104414,0
104420,1
104422,0
104440,4
104460,4
104478,4
104516,4
104536,1
104540,4
104589,4
104602,4
104608,1
104610,1
104611,4
104612,4
104624,4
104703,4
104709,4
104721,4
104723,4
104751,4
104764,0
104769,4
104784,4
104788,4
104819,4
104830,4
104920,4
104929,4
104934,1
104962,4
104977,0
104988,0
104991,4
105009,1
105014,1
105020,0
105028,3
105056,4
105069,1
105070,4
105082,4
105088,4
105092,4
105117,1
105165,4
105201,4
105216,4
105218,1
105221,4
105257,4
105258,4
105279,4
105314,4
105331,4
105334,4
105354,4
105364,4
105365,1
105381,1
105417,4
105447,0
105459,0
105497,1
105500,1
105507,4
105513,4
105529,4
105539,4
105541,4
105572,1
105576,4
105581,4
105613,1
105631,1
105648,4
105653,4
105700,1
105743,4
105755,0
105757,4
105758,1
105762,4
105764,4
105772,4
105774,1
105787,4
105797,4
105846,4
105868,3
105870,4
105879,4
105881,1
105900,3
105902,1
105925,1
105940,1
105973,4
105983,1
105984,4
105986,4
105991,0
106000,0
106018,4
106028,4
106039,4
106040,0
106044,4
106049,3
106059,4
106079,1
106105,4
106124,4
106147,4
106165,4
106170,4
106176,1
106199,1
106205,4
106206,3
106230,0
106263,3
106275,1
106298,4
106355,4
106357,3
106388,4
106390,1
106409,4
106429,4
106432,4
106463,4
106471,1
106499,4
106514,1
106544,4
106612,4
106621,1
106646,4
106652,4
106664,1
106670,4
106689,4
106694,4
106705,4
106725,3
106739,4
106749,4
106773,4
106777,1
106781,0
106784,1
106788,4
106800,4
106803,4
106812,4
106819,4
106829,4
106841,4
106882,4
106885,4
106886,4
106896,0
106919,4
106923,4
106931,4
106944,4
106973,4
106986,4
107012,1
107019,4
107055,4
107064,4
107084,1
107106,4
107117,1
107143,4
107159,1
107193,3
107197,1
107202,1
107229,1
107231,4
107261,4
107268,1
107272,0
107290,4
107298,4
107314,1
107355,1
107374,1
107379,1
107383,0
107388,4
107394,4
107403,4
107406,4
107415,3
107422,4
107434,3
107435,0
107454,4
107461,0
107466,4
107480,4
107496,3
107510,4
107517,4
107521,4
107524,1
107527,4
107539,4
107553,4
107555,1
107559,4
107560,4
107562,4
107563,4
107573,4
107576,4
107583,4
107593,4
107597,1
107606,1
107608,4
107610,4
107613,4
107616,4
107619,0
107627,1
107629,1
107631,4
107660,4
107688,4
107692,4
107709,1
107720,1
107736,4
107745,1
107747,1
107794,4
107810,4
107823,4
107828,0
107831,4
107849,4
107859,3
107888,4
107943,1
107946,4
107951,4
107954,4
107961,4
107966,4
107967,0
107972,4
107975,0
107985,3
107987,4
108012,4
108017,4
108038,1
108041,4
108051,4
108066,4
108088,4
108103,3
108105,4
108111,4
108146,0
108160,4
108182,4
108195,4
108207,4
108225,4
108251,1
108272,1
108305,4
108326,4
108481,4
108497,4
108507,4
108545,4
108551,4
108574,1
108580,4
108584,0
108601,4
108608,1
108624,0
108642,4
108645,4
108649,4
108661,4
108672,4
108692,0
108715,0
108717,4
108742,3
108757,4
108764,3
108772,1
108779,4
108786,3
108914,4
108917,4
108920,4
108928,4
108929,1
108947,4
108952,4
108959,4
108961,1
108979,4
108985,4
108988,4
108991,4
108994,0
109011,4
109033,0
109074,4
109083,4
109096,4
109098,4
109112,4
109124,4
109127,4
109132,1
109135,4
109155,4
109180,0
109215,4
109255,4
109266,1
109282,0
109292,4
109330,4
109333,4
109360,4
109361,4
109366,1
109380,1
109402,4
109404,4
109414,4
109422,4
109449,4
109509,3
109529,4
109568,1
109595,4
109623,4
109629,4
109630,4
109682,4
109688,1
109699,4
109715,4
109718,1
109727,4
109740,4
109744,1
109750,0
109772,4
109780,1
109827,4
109868,1
109879,3
109885,4
109888,4
109946,1
109977,4
110034,4
110063,4
110074,4
110076,4
110109,4
110118,4
110121,0
110129,4
110139,4
110149,4
110178,4
110195,0
110217,3
110250,4
110285,1
110306,4
110313,0
110339,1
110348,4
110349,4
110364,3
110370,3
110375,1
110384,3
110388,4
110389,3
110404,1
110411,4
110429,1
110465,3
110466,4
110480,4
110521,1
110528,1
110538,0
110566,1
110596,1
110619,4
110633,1
110636,0
110676,4
110678,4
110695,4
110707,4
110710,4
110713,1
110719,3
110746,4
110763,1
110789,1
110805,4
110808,1
110821,4
110837,4
110844,1
110858,0
110887,1
110923,4
110964,3
110966,1
111022,4
111038,0
111121,4
111123,4
111125,4
111141,1
111142,4
111149,4
111175,4
111182,4
111207,4
111223,4
111240,4
111245,4
111259,4
111266,1
111274,0
111286,4
111298,4
111302,4
111305,4
111312,4
111383,4
111398,4
111399,4
111411,4
111417,4
111428,4
111481,4
111484,1
111491,1
111499,4
111514,1
111534,4
111552,1
111553,1
111597,4
111615,1
111622,1
111658,1
111660,4
111667,4
111681,0
111715,4
111716,4
111725,4
111727,3
111743,4
111753,4
111770,1
111775,4
111791,1
111792,1
111793,4
111799,1
111804,4
111834,4
111839,4
111858,4
111879,4
111882,1
111883,1
111910,4
111924,4
111937,4
111979,4
111980,4
112016,4
112017,4
112034,4
112072,4
112119,4
112122,1
112125,4
112135,4
112148,4
112167,4
112177,1
112188,4
112196,1
112229,0
112245,4
