galaxyID,label1,label2,label3,label4
41793,0,0,0,0
220034,2,0,0,0
208678,7,4,3,2
1469,1,0,0,0
95302,4,2,1,1
226117,1,0,0,0
1538,0,0,0,0
133387,0,0,0,0
99283,0,0,0,0
21681,1,0,0,0
246362,2,0,0,0
152975,4,2,1,1
227568,1,0,0,0
62955,5,2,1,1
256000,4,2,1,1
213314,1,0,0,0
25953,1,0,0,0
284980,3,1,1,1
222790,4,2,1,1
228921,2,0,0,0
7404,0,0,0,0
113077,1,0,0,0
134591,1,0,0,0
70804,5,2,1,1
178037,3,1,1,1
234541,1,0,0,0
287044,0,0,0,0
198446,1,0,0,0
70442,5,2,1,1
285007,0,0,0,0
169009,3,1,1,1
227866,1,0,0,0
243370,4,2,1,1
195264,1,0,0,0
285488,6,3,2,2
164833,5,2,1,1
223712,5,2,1,1
45835,0,0,0,0
107761,1,0,0,0
271579,4,2,1,1
156935,4,2,1,1
240632,6,3,2,2
290624,5,2,1,1
44057,1,0,0,0
82524,6,3,2,2
257923,5,2,1,1
69611,0,0,0,0
41947,1,0,0,0
148130,1,0,0,0
133890,1,0,0,0
283476,1,0,0,0
257618,0,0,0,0
161347,2,0,0,0
145542,0,0,0,0
269985,5,2,1,1
241535,4,2,1,1
173013,1,0,0,0
219611,3,1,1,1
6507,0,0,0,0
110662,3,1,1,1
180968,4,2,1,1
278299,4,2,1,1
58022,5,2,1,1
220716,0,0,0,0
28696,4,2,1,1
62425,0,0,0,0
22911,0,0,0,0
128149,3,1,1,1
21502,1,0,0,0
224024,7,4,3,2
205049,0,0,0,0
58352,0,0,0,0
77887,0,0,0,0
207829,0,0,0,0
67407,5,2,1,1
215061,0,0,0,0
165180,0,0,0,0
209358,0,0,0,0
129408,3,1,1,1
246992,6,3,2,2
64926,5,2,1,1
17468,0,0,0,0
225758,4,2,1,1
150165,3,1,1,1
135703,1,0,0,0
136882,0,0,0,0
137157,0,0,0,0
32567,4,2,1,1
53543,2,0,0,0
227247,5,2,1,1
176420,0,0,0,0
261615,3,1,1,1
153621,5,2,1,1
95376,0,0,0,0
88058,0,0,0,0
89004,6,3,2,2
257156,3,1,1,1
238918,0,0,0,0
84621,2,0,0,0
265600,0,0,0,0
233306,7,4,3,2
125271,1,0,0,0
125311,0,0,0,0
159597,4,2,1,1
37938,1,0,0,0
46355,4,2,1,1
136442,5,2,1,1
52960,6,3,2,2
102459,3,1,1,1
158212,2,0,0,0
175571,4,2,1,1
19670,0,0,0,0
164475,5,2,1,1
120779,0,0,0,0
173873,2,0,0,0
255522,0,0,0,0
180792,1,0,0,0
132322,5,2,1,1
80324,1,0,0,0
75347,0,0,0,0
41097,5,2,1,1
35454,0,0,0,0
167531,0,0,0,0
258025,6,3,2,2
66477,4,2,1,1
227873,5,2,1,1
133740,4,2,1,1
17706,1,0,0,0
19506,3,1,1,1
23676,1,0,0,0
74801,1,0,0,0
56457,0,0,0,0
278900,0,0,0,0
170584,0,0,0,0
168957,0,0,0,0
241217,5,2,1,1
222271,5,2,1,1
151413,0,0,0,0
113628,1,0,0,0
237092,1,0,0,0
38906,4,2,1,1
12241,3,1,1,1
17563,4,2,1,1
166404,1,0,0,0
176573,4,2,1,1
28408,4,2,1,1
60906,2,0,0,0
156079,0,0,0,0
71805,1,0,0,0
257379,5,2,1,1
71225,4,2,1,1
33968,1,0,0,0
128346,0,0,0,0
211260,1,0,0,0
125762,0,0,0,0
198634,1,0,0,0
129602,1,0,0,0
272754,3,1,1,1
128839,2,0,0,0
52613,0,0,0,0
109819,1,0,0,0
1215,2,0,0,0
24218,5,2,1,1
188577,5,2,1,1
121226,1,0,0,0
245496,1,0,0,0
4324,4,2,1,1
271531,1,0,0,0
242182,5,2,1,1
243436,3,1,1,1
127786,4,2,1,1
196360,3,1,1,1
276994,4,2,1,1
7226,0,0,0,0
115633,1,0,0,0
81372,1,0,0,0
219065,1,0,0,0
102923,5,2,1,1
223508,5,2,1,1
141229,0,0,0,0
55568,5,2,1,1
84689,3,1,1,1
271585,6,3,2,2
94571,5,2,1,1
114536,4,2,1,1
79918,0,0,0,0
64390,3,1,1,1
182298,0,0,0,0
11500,6,3,2,2
289625,1,0,0,0
75694,1,0,0,0
198136,4,2,1,1
80887,5,2,1,1
59948,4,2,1,1
111770,6,3,2,2
182033,7,4,3,2
129269,5,2,1,1
80583,5,2,1,1
60578,1,0,0,0
22366,1,0,0,0
106371,5,2,1,1
140910,0,0,0,0
188148,1,0,0,0
184696,0,0,0,0
162371,3,1,1,1
233830,5,2,1,1
217304,1,0,0,0
67040,0,0,0,0
214833,0,0,0,0
233141,5,2,1,1
230938,1,0,0,0
217842,4,2,1,1
33358,0,0,0,0
108709,3,1,1,1
131252,0,0,0,0
257136,5,2,1,1
151662,3,1,1,1
110817,5,2,1,1
220587,5,2,1,1
39720,1,0,0,0
59785,7,4,3,2
117245,5,2,1,1
120357,3,1,1,1
215224,5,2,1,1
94327,4,2,1,1
173859,3,1,1,1
126546,4,2,1,1
41300,0,0,0,0
93660,3,1,1,1
179237,5,2,1,1
199719,0,0,0,0
269223,3,1,1,1
134935,5,2,1,1
142437,5,2,1,1
195534,5,2,1,1
173978,0,0,0,0
2508,1,0,0,0
77180,4,2,1,1
19524,5,2,1,1
231035,5,2,1,1
3952,0,0,0,0
245870,0,0,0,0
82942,0,0,0,0
293575,4,2,1,1
125449,0,0,0,0
74159,0,0,0,0
261455,1,0,0,0
112429,1,0,0,0
168042,4,2,1,1
98986,1,0,0,0
265687,6,3,2,2
270379,3,1,1,1
12328,3,1,1,1
192279,4,2,1,1
22837,0,0,0,0
275542,1,0,0,0
110653,5,2,1,1
17897,0,0,0,0
82149,1,0,0,0
153247,4,2,1,1
171149,0,0,0,0
240661,7,4,3,2
11334,5,2,1,1
12640,4,2,1,1
35338,4,2,1,1
115337,0,0,0,0
176148,1,0,0,0
150385,0,0,0,0
171757,1,0,0,0
73524,3,1,1,1
264955,3,1,1,1
96855,1,0,0,0
194027,4,2,1,1
197062,5,2,1,1
95975,0,0,0,0
20142,5,2,1,1
110832,0,0,0,0
15696,0,0,0,0
124095,0,0,0,0
158136,4,2,1,1
64320,4,2,1,1
93922,5,2,1,1
103852,6,3,2,2
140853,1,0,0,0
263963,2,0,0,0
126731,4,2,1,1
229723,1,0,0,0
94779,0,0,0,0
120665,1,0,0,0
199844,5,2,1,1
132346,1,0,0,0
265110,5,2,1,1
16813,0,0,0,0
176591,5,2,1,1
47984,4,2,1,1
55754,5,2,1,1
193059,0,0,0,0
75922,4,2,1,1
232072,1,0,0,0
25577,1,0,0,0
282295,0,0,0,0
58205,1,0,0,0
71133,0,0,0,0
283837,4,2,1,1
247818,4,2,1,1
20608,4,2,1,1
129411,4,2,1,1
221387,3,1,1,1
236740,0,0,0,0
222201,4,2,1,1
250974,3,1,1,1
52521,0,0,0,0
217613,5,2,1,1
235381,4,2,1,1
258711,2,0,0,0
128984,5,2,1,1
281767,1,0,0,0
47466,1,0,0,0
75079,1,0,0,0
20602,5,2,1,1
128356,0,0,0,0
78072,1,0,0,0
241827,0,0,0,0
209977,5,2,1,1
101472,5,2,1,1
93348,0,0,0,0
162307,0,0,0,0
168717,4,2,1,1
12129,4,2,1,1
89842,0,0,0,0
130754,4,2,1,1
78375,0,0,0,0
73590,0,0,0,0
249617,3,1,1,1
63626,4,2,1,1
3800,3,1,1,1
271663,4,2,1,1
167520,2,0,0,0
177833,3,1,1,1
94411,0,0,0,0
126921,5,2,1,1
164767,1,0,0,0
159049,1,0,0,0
118396,1,0,0,0
124767,5,2,1,1
267872,5,2,1,1
135474,0,0,0,0
142989,2,0,0,0
7035,5,2,1,1
244615,1,0,0,0
193388,0,0,0,0
162676,0,0,0,0
194024,1,0,0,0
197269,6,3,2,2
206861,5,2,1,1
198809,2,0,0,0
247135,2,0,0,0
34924,5,2,1,1
239743,5,2,1,1
41955,5,2,1,1
234382,4,2,1,1
80633,0,0,0,0
218229,3,1,1,1
133648,5,2,1,1
229971,4,2,1,1
230290,0,0,0,0
163247,1,0,0,0
4757,0,0,0,0
67548,7,4,3,2
43773,1,0,0,0
44919,0,0,0,0
78099,5,2,1,1
122824,6,3,2,2
14592,0,0,0,0
4158,7,4,3,2
187833,1,0,0,0
186750,0,0,0,0
8257,6,3,2,2
272694,1,0,0,0
74681,0,0,0,0
149411,1,0,0,0
239338,0,0,0,0
162616,4,2,1,1
258718,2,0,0,0
76806,0,0,0,0
48631,4,2,1,1
248621,2,0,0,0
554,3,1,1,1
118310,1,0,0,0
255253,1,0,0,0
122847,1,0,0,0
189298,0,0,0,0
106985,3,1,1,1
246716,5,2,1,1
209689,4,2,1,1
101799,0,0,0,0
34798,3,1,1,1
31580,5,2,1,1
69491,5,2,1,1
65641,5,2,1,1
261575,5,2,1,1
48383,1,0,0,0
57803,0,0,0,0
97600,5,2,1,1
11082,0,0,0,0
163451,4,2,1,1
112540,2,0,0,0
193509,1,0,0,0
144178,4,2,1,1
130663,2,0,0,0
69197,1,0,0,0
24896,5,2,1,1
286374,5,2,1,1
19021,1,0,0,0
121390,0,0,0,0
166428,1,0,0,0
64238,1,0,0,0
227510,0,0,0,0
90032,3,1,1,1
184477,0,0,0,0
151011,0,0,0,0
93841,4,2,1,1
177670,5,2,1,1
235175,0,0,0,0
107065,1,0,0,0
176671,5,2,1,1
151849,1,0,0,0
225199,5,2,1,1
44226,5,2,1,1
40493,3,1,1,1
179374,1,0,0,0
27248,5,2,1,1
262189,1,0,0,0
80234,0,0,0,0
43687,5,2,1,1
162773,1,0,0,0
14005,0,0,0,0
64558,1,0,0,0
4009,1,0,0,0
265778,6,3,2,2
153138,5,2,1,1
175701,0,0,0,0
220005,0,0,0,0
253203,6,3,2,2
41748,1,0,0,0
211240,4,2,1,1
218347,1,0,0,0
84248,5,2,1,1
207340,5,2,1,1
149455,1,0,0,0
46353,1,0,0,0
8799,0,0,0,0
213947,0,0,0,0
112439,4,2,1,1
161815,1,0,0,0
144890,1,0,0,0
189020,5,2,1,1
240227,6,3,2,2
196334,4,2,1,1
145084,3,1,1,1
11439,5,2,1,1
23715,1,0,0,0
39640,0,0,0,0
165010,3,1,1,1
66561,6,3,2,2
148413,6,3,2,2
193014,5,2,1,1
261494,0,0,0,0
239077,1,0,0,0
216157,1,0,0,0
156132,0,0,0,0
152273,0,0,0,0
112226,1,0,0,0
259226,1,0,0,0
50723,5,2,1,1
78765,3,1,1,1
78107,2,0,0,0
270557,0,0,0,0
276641,1,0,0,0
82013,1,0,0,0
208871,0,0,0,0
225700,4,2,1,1
214884,6,3,2,2
170734,1,0,0,0
261823,6,3,2,2
173027,0,0,0,0
245159,1,0,0,0
63486,3,1,1,1
35369,1,0,0,0
168946,5,2,1,1
191165,4,2,1,1
240748,5,2,1,1
